"0x8befe8","Character Reference Number","Starting Class","***UNKNOWN*** (Usually Zero)","Starting Level/Alliance","X Co-ordinate","Y Co-ordinate","***UNKNOWN***","Reinforcement Placement?","Reinforcement Pointer?","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0xbd","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xbe","0x5f","0x60","0x0","0x4d","205","0","0x0","0x0","0x0","0xac","0xb4","0x0","0x0","0x3","0x3","0xc","0x0"
"0xbf","0xb8","0x60","0x0","0x3d","12","1","0x0","0x0","0x0","0xb4","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xc0","0xb8","0x60","0x0","0x3d","14","1","0x0","0x0","0x0","0xb4","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xc1","0xb9","0x17","0x0","0x3d","84","22","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xc2","0xb9","0x17","0x0","0x3d","21","17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xc3","0xb3","0x9","0x0","0x8d","136","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xc4","0xb3","0x9","0x0","0x8d","74","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xc5","0xb3","0x9","0x0","0x8d","142","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xc6","0xb3","0x9","0x0","0x8d","80","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xc7","0xb3","0x9","0x0","0x8d","211","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xc8","0xb3","0x9","0x0","0x8d","148","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xc9","0xb3","0x9","0x0","0x8d","9","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xca","0xb3","0x9","0x0","0x8d","208","85","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xcb","0xb3","0x9","0x0","0x8d","22","85","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xcc","0xb7","0xf","0x0","0x8d","22","86","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xcd","0xb7","0xf","0x0","0x8d","135","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xce","0xb7","0xf","0x0","0x8d","134","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xcf","0xb7","0xf","0x0","0x8d","72","80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xd0","0xad","0x4","0x0","0x8d","10","84","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xd1","0xad","0x4","0x0","0x8d","71","81","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xd2","0xab","0x1","0x0","0x8d","20","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xd3","0xac","0x2","0x0","0x8d","72","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xd4","0xac","0x2","0x0","0x8d","19","86","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xd5","0xad","0x4","0x0","0x8d","82","86","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xd6","0xac","0x2","0x0","0x8d","146","82","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xd7","0xad","0x4","0x0","0x8d","77","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xd8","0xac","0x3","0x0","0x8d","142","83","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0xc","0x0"
"0xd9","0xba","0x62","0x0","0x45","77","1","0x0","0x0","0x0","0xac","0xab","0x0","0x0","0x0","0x3","0xc","0x0"
"0xda","0xba","0x62","0x0","0x3d","68","0","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x3","0xc","0x0"
"0xdb","0xba","0x62","0x0","0x3d","73","0","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x3","0xc","0x0"
"0xdc","0xba","0x62","0x0","0x3d","6","2","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x3","0xc","0x0"
"0xdd","0xba","0x62","0x0","0x35","200","1","0x0","0x0","0x0","0xab","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xde","0xba","0x62","0x0","0x35","73","4","0x0","0x0","0x0","0xab","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xdf","0xba","0x62","0x0","0x35","213","3","0x0","0x0","0x0","0xab","0x0","0x0","0x0","0x0","0x3","0xc","0x0"
"0xe0","0xba","0x62","0x0","0x3d","22","2","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x3","0xc","0x0"
"0xe1","0xba","0x62","0x0","0x3d","135","0","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x3","0xc","0x0"
"0xe2","0xba","0x62","0x0","0x3d","148","6","0x0","0x0","0x0","0xb5","0xab","0x0","0x0","0x0","0x3","0xc","0x0"
"0xe3","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
